"Top 5 Played Games and Ratings 
(for 7 game publishers via boardgamegeek.com)",,,,
Publisher,Board Game,Year published,Number of Players,Rating
AEG,Tiny Towns,2019,6949,7.43
,Love Letter,2012,6944,7.24
,Space Base,2018,5370,7.52
,Point Salad,2019,3468,7.35
,Mystic Vale,2016,2368,7.30
Blue Orange,Kingdomino,2016,10175,7.36
,Photosynthesis,2017,4049,7.19
,Planet,2018,2575,6.80
,Blue Lagoon,2018,1951,7.24
,Kingdomino Duel,2019,840,7.10
CMON,Gizmos,2018,5376,7.50
,Blood Rage,2015,4690,8.01
,Rising Son,2018,3324,7.93
,The Godfather,2017,1500,7.59
,Zombicide: Black Plague,2015,1498,7.71
Hans im Gluck,Carcassonne,2000,9713,7.42
,Stone Age,2008,5011,7.59
,Marco Polo,2015,4016,7.92
,Hadara,2019,2965,7.52
,Citadels,2000,2546,7.09
Kosmos,Catan,1995,6108,7.17
,Lost Cities,1999,4254,7.17
,Imhotep,2016,3005,7.22
,Targi,2012,2876,7.62
,5-Minute Dungeon,2018,1566,7.13
Lookout Games,Patchwork,2014,8657,7.68
,Barenpark,2017,4680,7.36
,Isle of Skye,2015,4504,7.45
,Agricola,2007,3906,7.97
,Caverna,2013,3390,8.04
Stonemaier Games,Wingspan,2019,19623,8.11
,Scythe,2016,11652,8.26
,Viticulutre,2015,6896,8.11
,Tapestry,2019,6874,7.52
,Charterstone,2017,2812,7.51
,,,,
Source: https://boardgamegeek.com/blogpost/100267/bgg-top-2019-publishers,,,,
